train 0th step, total_latency: 1.151708740234375sec, forward_time: 0.9305089111328125sec, backward_time: 0.2209990692138672sec, step_time: 0.00020080000162124632sec, 
train 36th step, total_latency: 0.012802016258239747sec, forward_time: 0.0015696959495544434sec, backward_time: 0.011101152420043945sec, step_time: 0.00013116799294948578sec, 
train 37th step, total_latency: 0.012939711570739747sec, forward_time: 0.0016690560579299928sec, backward_time: 0.011137344360351563sec, step_time: 0.00013331200182437896sec, 
train 38th step, total_latency: 0.012893823623657227sec, forward_time: 0.001602112054824829sec, backward_time: 0.011160927772521973sec, step_time: 0.0001307840049266815sec, 
train 39th step, total_latency: 0.012782655715942382sec, forward_time: 0.0015712640285491944sec, backward_time: 0.011080575942993163sec, step_time: 0.00013081599771976472sec, 
train 40th step, total_latency: 0.012747296333312988sec, forward_time: 0.0016611200571060181sec, backward_time: 0.010954784393310548sec, step_time: 0.00013139200210571288sec, 
train 41th step, total_latency: 0.0129169921875sec, forward_time: 0.0016072959899902344sec, backward_time: 0.011176992416381835sec, step_time: 0.0001327040046453476sec, 
train 42th step, total_latency: 0.014088352203369141sec, forward_time: 0.0015854719877243042sec, backward_time: 0.011907103538513184sec, step_time: 0.0005957760214805603sec, 
train 43th step, total_latency: 0.01271788787841797sec, forward_time: 0.0015818560123443603sec, backward_time: 0.011004896163940429sec, step_time: 0.0001311360001564026sec, 
train 44th step, total_latency: 0.01278115177154541sec, forward_time: 0.0015593279600143433sec, backward_time: 0.011090271949768067sec, step_time: 0.00013155199587345124sec, 
train 45th step, total_latency: 0.013008543968200684sec, forward_time: 0.0015687680244445802sec, backward_time: 0.011308223724365234sec, step_time: 0.00013155199587345124sec, 
train 46th step, total_latency: 0.012986559867858887sec, forward_time: 0.0016528960466384887sec, backward_time: 0.011202367782592773sec, step_time: 0.00013129599392414093sec, 
train 47th step, total_latency: 0.013020544052124024sec, forward_time: 0.0015783040523529052sec, backward_time: 0.011310463905334472sec, step_time: 0.00013177600502967834sec, 
train 48th step, total_latency: 0.012893216133117676sec, forward_time: 0.001601151943206787sec, backward_time: 0.011160832405090332sec, step_time: 0.00013123199343681335sec, 
train 49th step, total_latency: 0.013063360214233398sec, forward_time: 0.001633471965789795sec, backward_time: 0.01129843235015869sec, step_time: 0.00013145600259304046sec, 
train 50th step, total_latency: 0.012828703880310058sec, forward_time: 0.001572767972946167sec, backward_time: 0.011124575614929199sec, step_time: 0.0001313599944114685sec, 
train 51th step, total_latency: 0.01296288013458252sec, forward_time: 0.0015966720581054687sec, backward_time: 0.011234368324279785sec, step_time: 0.00013184000551700592sec, 
train 52th step, total_latency: 0.012946368217468262sec, forward_time: 0.0016280959844589234sec, backward_time: 0.011187583923339843sec, step_time: 0.00013068799674510956sec, 
train 53th step, total_latency: 0.01294883155822754sec, forward_time: 0.0016069439649581908sec, backward_time: 0.011209504127502441sec, step_time: 0.0001323840022087097sec, 
train 54th step, total_latency: 0.01282806396484375sec, forward_time: 0.001561568021774292sec, backward_time: 0.011135040283203125sec, step_time: 0.00013145600259304046sec, 
train 55th step, total_latency: 0.013039135932922363sec, forward_time: 0.0016039999723434447sec, backward_time: 0.011302975654602051sec, step_time: 0.0001321599930524826sec, 
train 56th step, total_latency: 0.012877951622009278sec, forward_time: 0.001628991961479187sec, backward_time: 0.011118240356445312sec, step_time: 0.00013072000443935394sec, 
train 57th step, total_latency: 0.01292585563659668sec, forward_time: 0.0015743680000305175sec, backward_time: 0.011219327926635742sec, step_time: 0.0001321599930524826sec, 
train 58th step, total_latency: 0.013078495979309082sec, forward_time: 0.0016434240341186524sec, backward_time: 0.011303839683532714sec, step_time: 0.00013123199343681335sec, 
train 59th step, total_latency: 0.012878623962402344sec, forward_time: 0.0015725120306015015sec, backward_time: 0.011173439979553222sec, step_time: 0.00013267199695110322sec, 
train 60th step, total_latency: 0.01284060764312744sec, forward_time: 0.0015640640258789062sec, backward_time: 0.011145631790161132sec, step_time: 0.00013091200590133667sec, 
train 61th step, total_latency: 0.013094143867492676sec, forward_time: 0.0016231039762496949sec, backward_time: 0.011338751792907715sec, step_time: 0.00013228799402713776sec, 
train 62th step, total_latency: 0.013270175933837891sec, forward_time: 0.0016070400476455688sec, backward_time: 0.011532832145690917sec, step_time: 0.0001303039938211441sec, 
train 63th step, total_latency: 0.01300153636932373sec, forward_time: 0.0016251840591430663sec, backward_time: 0.011244768142700196sec, step_time: 0.0001315840035676956sec, 
train 64th step, total_latency: 0.013601823806762696sec, forward_time: 0.0016319680213928223sec, backward_time: 0.011837504386901855sec, step_time: 0.00013235199451446533sec, 
train 65th step, total_latency: 0.012907648086547851sec, forward_time: 0.0015617280006408692sec, backward_time: 0.011214176177978515sec, step_time: 0.00013174399733543397sec, 
train 66th step, total_latency: 0.013016608238220215sec, forward_time: 0.0016140799522399902sec, backward_time: 0.011270719528198242sec, step_time: 0.00013180799782276154sec, 
train 67th step, total_latency: 0.012989312171936036sec, forward_time: 0.0016647360324859618sec, backward_time: 0.011192895889282227sec, step_time: 0.0001316799968481064sec, 
train 68th step, total_latency: 0.012790016174316406sec, forward_time: 0.0015683200359344483sec, backward_time: 0.011090975761413574sec, step_time: 0.00013072000443935394sec, 
train 69th step, total_latency: 0.012956031799316406sec, forward_time: 0.001652959942817688sec, backward_time: 0.011171232223510743sec, step_time: 0.00013184000551700592sec, 
train 70th step, total_latency: 0.012909567832946778sec, forward_time: 0.001612064003944397sec, backward_time: 0.011166912078857422sec, step_time: 0.00013059200346469878sec, 
train 71th step, total_latency: 0.013042207717895507sec, forward_time: 0.0016302720308303833sec, backward_time: 0.011280384063720703sec, step_time: 0.00013155199587345124sec, 
train 72th step, total_latency: 0.012901280403137207sec, forward_time: 0.0015719039440155028sec, backward_time: 0.011198304176330566sec, step_time: 0.00013107199966907502sec, 
train 73th step, total_latency: 0.013000096321105957sec, forward_time: 0.0016261119842529298sec, backward_time: 0.011241855621337891sec, step_time: 0.0001321280002593994sec, 
train 74th step, total_latency: 0.01293894386291504sec, forward_time: 0.0016108800172805785sec, backward_time: 0.0111976957321167sec, step_time: 0.00013036799430847168sec, 
train 75th step, total_latency: 0.01296985626220703sec, forward_time: 0.0016330560445785521sec, backward_time: 0.011204640388488769sec, step_time: 0.0001321599930524826sec, 
train 76th step, total_latency: 0.012874688148498535sec, forward_time: 0.001615872025489807sec, backward_time: 0.011127264022827148sec, step_time: 0.00013155199587345124sec, 
train 77th step, total_latency: 0.012989760398864746sec, forward_time: 0.0016083199977874757sec, backward_time: 0.011249055862426758sec, step_time: 0.0001323840022087097sec, 
train 78th step, total_latency: 0.013280735969543458sec, forward_time: 0.0016170239448547363sec, backward_time: 0.011532896041870118sec, step_time: 0.00013081599771976472sec, 
train 79th step, total_latency: 0.012979167938232422sec, forward_time: 0.001619968056678772sec, backward_time: 0.011226783752441407sec, step_time: 0.0001324159950017929sec, 
train 80th step, total_latency: 0.01270291233062744sec, forward_time: 0.001574336051940918sec, backward_time: 0.010997119903564454sec, step_time: 0.00013145600259304046sec, 
train 81th step, total_latency: 0.012891615867614746sec, forward_time: 0.0016037440299987793sec, backward_time: 0.0111561279296875sec, step_time: 0.00013174399733543397sec, 
train 82th step, total_latency: 0.012822976112365722sec, forward_time: 0.0016125760078430176sec, backward_time: 0.011079520225524902sec, step_time: 0.0001308799982070923sec, 
train 83th step, total_latency: 0.01299721622467041sec, forward_time: 0.0015817279815673827sec, backward_time: 0.011282496452331543sec, step_time: 0.00013299199938774108sec, 
train 84th step, total_latency: 0.01279257583618164sec, forward_time: 0.0015689280033111572sec, backward_time: 0.01109171199798584sec, step_time: 0.0001319359987974167sec, 
train 85th step, total_latency: 0.013102399826049804sec, forward_time: 0.0016600639820098877sec, backward_time: 0.011310496330261231sec, step_time: 0.00013184000551700592sec, 
train 86th step, total_latency: 0.012892095565795899sec, forward_time: 0.0016809279918670655sec, backward_time: 0.01107868766784668sec, step_time: 0.0001324799954891205sec, 
train 87th step, total_latency: 0.013113951683044434sec, forward_time: 0.0016213760375976562sec, backward_time: 0.01136025619506836sec, step_time: 0.00013232000172138213sec, 
train 88th step, total_latency: 0.012914175987243653sec, forward_time: 0.0016150720119476319sec, backward_time: 0.011168543815612792sec, step_time: 0.0001305599957704544sec, 
train 89th step, total_latency: 0.012903743743896485sec, forward_time: 0.0015573439598083496sec, backward_time: 0.011213791847229005sec, step_time: 0.00013260799646377564sec, 
train 90th step, total_latency: 0.01289465618133545sec, forward_time: 0.0016126400232315064sec, backward_time: 0.011150815963745116sec, step_time: 0.00013120000064373018sec, 
train 91th step, total_latency: 0.012900704383850098sec, forward_time: 0.0015618560314178468sec, backward_time: 0.011206048011779785sec, step_time: 0.00013279999792575837sec, 
train 92th step, total_latency: 0.012873760223388672sec, forward_time: 0.0016324160099029541sec, backward_time: 0.011109984397888184sec, step_time: 0.0001313599944114685sec, 
train 93th step, total_latency: 0.013038847923278809sec, forward_time: 0.001628991961479187sec, backward_time: 0.011277919769287109sec, step_time: 0.0001319359987974167sec, 
train 94th step, total_latency: 0.013027456283569336sec, forward_time: 0.0016266239881515504sec, backward_time: 0.011269920349121094sec, step_time: 0.00013091200590133667sec, 
train 95th step, total_latency: 0.012814975738525391sec, forward_time: 0.0015603519678115845sec, backward_time: 0.011123135566711425sec, step_time: 0.00013148799538612366sec, 
train 96th step, total_latency: 0.013019392013549805sec, forward_time: 0.0015935360193252565sec, backward_time: 0.011295424461364747sec, step_time: 0.00013043199479579926sec, 
train 97th step, total_latency: 0.033258785247802736sec, forward_time: 0.008375743865966796sec, backward_time: 0.024074464797973632sec, step_time: 0.000808575987815857sec, 
train 97th step, total_latency: 2.427146083831788sec, forward_time: 1.0940673755407329sec, backward_time: 1.3185009574890136sec, 
epoch # 1 done, 2024-06-18 13:47:11.371563
DDP rank-0 execution time (s) by Python time 0:00:07.718521 
train 97th step, total_latency: 2.439109088897706sec, forward_time: 1.087639203548431sec, backward_time: 1.336718814849853sec, 
epoch # 1 done, 2024-06-18 13:47:11.370623
DDP rank-1 execution time (s) by Python time 0:00:07.584544 
